provider,country_code,country,asn,operator,observed_records_bucket,prefix_count,hosting_record_bucket,exit_record_bucket,avg_confidence,data_origin
Sentinel dVPN,DK,Denmark,44803,WEBDOCK-AS,lt-50,1,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
Sentinel dVPN,EE,Estonia,207083,HOSTSLIM-GLOBAL-NETWORK,lt-50,1,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
Sentinel dVPN,ES,Spain,41608,NEXTGENWEBS-NL,lt-50,1,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
Sentinel dVPN,FR,France,29447,TIF-AS Iliad Italia S.p.A,lt-50,1,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
Sentinel dVPN,FR,France,3215,France Telecom - Orange,lt-50,1,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
Sentinel dVPN,FR,France,5410,BOUYGTEL-ISP,lt-50,1,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
Sentinel dVPN,GB,United Kingdom,203363,KUROIT Kuroit Limited,lt-50,1,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
Sentinel dVPN,GB,United Kingdom,203758,AARONSMITH-AS,lt-50,1,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
Sentinel dVPN,GB,United Kingdom,204044,ONLYSERVERS Dedicated Server Hosting Provider,lt-50,1,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
Sentinel dVPN,GB,United Kingdom,205090,FIRST-SERVER-EUROPE,lt-50,1,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
Sentinel dVPN,GB,United Kingdom,209243,QUICKHOSTUK,lt-50,1,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
Sentinel dVPN,GB,United Kingdom,212027,PEBBLEHOST,lt-50,1,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
Sentinel dVPN,GB,United Kingdom,215089,FASTPANDA,lt-50,1,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
