operator_cluster,operator,provider_count,asn_count,country_count,observed_records_bucket,top_provider_examples,source_repo
OperatorCluster-311,IFOG-GMBH,0,1,1,lt-50,FlowVPN (5),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-312,INTERSTAR,0,1,1,lt-50,WiTopia (5),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-313,IS-AS-1,0,1,1,lt-50,VPN.ac (3); Sentinel dVPN (2),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-314,KAZTELECOM-AS,0,1,1,lt-50,Sentinel dVPN (3); VPN Jantit (2),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-315,"M247-UK M247 UK Ltd, trading as M247",0,1,1,lt-50,Trust.Zone (2); Cryptostorm (1); Goosevpn (1); IVPN (1),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-316,MEVSPACE,0,1,1,lt-50,Kompot VPN (5),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-317,NETWIRE-INC,0,1,1,lt-50,Sentinel dVPN (5),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-318,NOVOSERVE-CUSTOMERS-AS NovoServe Customers ASN,0,1,1,lt-50,ProtonVPN (5),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-319,ONEASIAHOST OneAsiaHost,0,1,1,lt-50,VPN Jantit (5),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-320,PROMO-PLUS,0,1,1,lt-50,Sentinel dVPN (5),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-321,PSKZ-ALA,0,1,1,lt-50,Kompot VPN (5),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-322,ROYALE-AS,0,1,1,lt-50,Sentinel dVPN (3); KevinVPN (2),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-323,RYAMER,0,1,1,lt-50,Windscribe (3); AzireVPN (2),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-324,Red Cientifica Peruana,0,1,1,lt-50,Sentinel dVPN (5),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-325,SAS-SHPV-FRANCE,0,1,1,lt-50,Freedomip (5),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-326,SERVER server.ua,0,1,1,lt-50,AzireVPN (1); CactusVPN (1); IVPN (1); PrivateVPN (1); Trust.Zone (1),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-327,SERVERSTADIUM,0,1,1,lt-50,Astrill (3); Safervpn (1); VPN Unlimited (1),ipanalytics/vpn-provider-overlap-intelligence
