provider,asn,operator,country_count,country_examples,observed_records_bucket,prefix_count,avg_confidence,data_origin
WiTopia,395954,LEASEWEB-USA-LAX,1,United States,lt-50,4,95.0,VPN-Infrastructure-Atlas
WiTopia,396362,LEASEWEB-USA-NYC,1,United States,lt-50,5,95.0,VPN-Infrastructure-Atlas
AirVPN,394256,CLOUDSINGULARITY,1,Canada,lt-50,2,95.0,VPN-Infrastructure-Atlas
CyberGhost,44679,BINBOX-GLOBAL-SERVICES,1,Romania,lt-50,2,71.0,VPN-Infrastructure-Atlas
Ivacy,212238,CDNEXT,16,Australia; Canada; Switzerland; Denmark; France; United Kingdom; Greece; Hungary; Ireland; Nigeria,lt-50,23,95.0,VPN-Infrastructure-Atlas
NordVPN,42831,"UKSERVERS-AS UK Dedicated Servers, Hosting and Co-Location",1,United Kingdom,lt-50,22,95.0,VPN-Infrastructure-Atlas
GhostPath,63949,AKAMAI-LINODE-AP Akamai Connected Cloud,8,Australia; Canada; Germany; United Kingdom; India; Japan; Singapore; United States,lt-50,23,88.0,VPN-Infrastructure-Atlas
ExpressVPN,62240,CLOUVIDER Clouvider - Global ASN,1,United Kingdom,lt-50,10,70.0,VPN-Infrastructure-Atlas
Sentinel dVPN,9009,M247,1,Romania,lt-50,20,95.0,VPN-Infrastructure-Atlas
VPN Jantit,45102,"ALIBABA-CN-NET Alibaba US Technology Co., Ltd.",1,China,lt-50,21,88.0,VPN-Infrastructure-Atlas
ExpressVPN,396356,LATITUDE-SH,1,United States,lt-50,8,70.0,VPN-Infrastructure-Atlas
Mullvad,43357,OWL Owl Limited,1,Vanuatu,lt-50,6,95.0,VPN-Infrastructure-Atlas
Private Internet Access,42708,GLESYS glesys.com,3,Denmark; Finland; Sweden,lt-50,5,95.0,VPN-Infrastructure-Atlas
Surfshark,9009,M247,14,United Arab Emirates; Belgium; Bulgaria; Brazil; Canada; Czechia; Germany; Denmark; Ireland; Italy,lt-50,18,95.0,VPN-Infrastructure-Atlas
Windscribe,263812,SONDATECH S.A.S.,1,Argentina,lt-50,7,95.0,VPN-Infrastructure-Atlas
AirVPN,63018,DEDICATED,1,United States,lt-50,1,95.0,VPN-Infrastructure-Atlas
EasyHideIP,42831,"UKSERVERS-AS UK Dedicated Servers, Hosting and Co-Location",1,United Kingdom,lt-50,3,95.0,VPN-Infrastructure-Atlas
IPVanish,13213,UK2NET-AS,1,United Kingdom,lt-50,1,95.0,VPN-Infrastructure-Atlas
