provider,country,observed_records_bucket,prefix_count,asn_count,hosting_record_bucket,avg_confidence,data_origin
PrivateVPN,United States,lt-50,18,7,lt-50,93.8,VPN-Infrastructure-Atlas
VPN Jantit,China,lt-50,22,2,lt-50,88.0,VPN-Infrastructure-Atlas
FrootVPN,Canada,lt-50,4,4,lt-50,95.0,VPN-Infrastructure-Atlas
Vpnht,France,lt-50,5,2,lt-50,78.0,VPN-Infrastructure-Atlas
Windscribe,Canada,lt-50,5,2,lt-50,95.0,VPN-Infrastructure-Atlas
Anonine,Canada,lt-50,4,4,lt-50,95.0,VPN-Infrastructure-Atlas
Anonine,United Kingdom,lt-50,3,3,lt-50,95.0,VPN-Infrastructure-Atlas
AzireVPN,United Kingdom,lt-50,20,2,lt-50,95.0,VPN-Infrastructure-Atlas
BoxPN,Canada,lt-50,4,4,lt-50,95.0,VPN-Infrastructure-Atlas
EasyHideIP,Canada,lt-50,4,4,lt-50,95.0,VPN-Infrastructure-Atlas
IVPN,United States,lt-50,18,7,lt-50,95.0,VPN-Infrastructure-Atlas
VPN.ac,Netherlands,lt-50,13,3,lt-50,95.0,VPN-Infrastructure-Atlas
Windscribe,Argentina,lt-50,7,1,lt-50,95.0,VPN-Infrastructure-Atlas
BoxPN,United Kingdom,lt-50,3,3,lt-50,95.0,VPN-Infrastructure-Atlas
FlowVPN,United Kingdom,lt-50,17,12,lt-50,70.0,VPN-Infrastructure-Atlas
Mullvad,Australia,lt-50,7,1,lt-50,95.0,VPN-Infrastructure-Atlas
Sentinel dVPN,France,lt-50,20,6,lt-50,95.0,VPN-Infrastructure-Atlas
TunnelBear,New Zealand,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
